,bins,freq
0,-0.06,3.101671940836098e+26
1,-0.05989983305509182,3.113277235925055e+26
2,-0.059799666110183634,3.1149239332011916e+26
3,-0.059699499165275456,3.126842884914176e+26
4,-0.05959933222036728,3.120412924121645e+26
5,-0.0594991652754591,3.0735212588297733e+26
6,-0.059398998330550914,3.119393540093561e+26
7,-0.059298831385642736,3.0825388867705174e+26
8,-0.05919866444073456,3.1249609451700204e+26
9,-0.05909849749582637,3.0834798566425953e+26
10,-0.058998330550918195,3.0900666457471393e+26
11,-0.058898163606010016,3.0699142076534753e+26
12,-0.05879799666110183,3.078461350658181e+26
13,-0.05869782971619365,3.1140613774851205e+26
14,-0.058597662771285475,3.0597203673726336e+26
15,-0.058497495826377297,3.0484287289077014e+26
16,-0.05839732888146911,3.073286016361754e+26
17,-0.05829716193656093,3.085753867166783e+26
18,-0.058196994991652755,3.064660459201042e+26
19,-0.05809682804674457,3.0310992004302707e+26
20,-0.05799666110183639,3.0661503281651647e+26
21,-0.05789649415692821,3.0552507604802644e+26
22,-0.057796327212020035,3.0498401837158177e+26
23,-0.05769616026711185,3.061759135428802e+26
24,-0.05759599332220367,3.028041048346018e+26
25,-0.05749582637729549,3.0218463300215066e+26
26,-0.05739565943238731,3.0397247575909828e+26
27,-0.05729549248747913,3.0620727920528282e+26
28,-0.05719532554257095,3.0182392788452085e+26
29,-0.057095158597662767,2.989539697746839e+26
30,-0.05699499165275459,3.0573679426924393e+26
31,-0.05689482470784641,3.006555569600244e+26
32,-0.056794657762938225,3.0136128436408265e+26
33,-0.05669449081803005,2.9920489507390464e+26
34,-0.05659432387312187,3.0410577982430927e+26
35,-0.05649415692821369,2.987893000470703e+26
36,-0.056393989983305505,3.0154163692289755e+26
37,-0.05629382303839733,2.989539697746839e+26
38,-0.05619365609348915,2.975974048757719e+26
39,-0.05609348914858096,2.9813846255221656e+26
40,-0.055993322203672785,3.0053009431041406e+26
41,-0.05589315525876461,2.994871860355279e+26
42,-0.05579298831385643,2.9646824102927863e+26
43,-0.055692821368948243,2.969544087965188e+26
44,-0.055592654424040065,2.977150261097816e+26
45,-0.05549248747913189,2.9751114930416478e+26
46,-0.0553923205342237,2.9573114796281783e+26
47,-0.055292153589315524,2.971190785241324e+26
48,-0.055191986644407345,2.9442163155750967e+26
49,-0.05509181969949917,2.962173157300579e+26
50,-0.05499165275459098,2.966878006660968e+26
51,-0.054891485809682804,2.91833964409296e+26
52,-0.05479131886477462,2.9327678487981513e+26
53,-0.05469115191986644,2.9749546647296345e+26
54,-0.05459098497495826,2.9266515446296464e+26
55,-0.054490818030050084,2.9317484647700676e+26
56,-0.0543906510851419,2.9297881108699053e+26
57,-0.05429048414023372,2.917320260064876e+26
58,-0.05419031719532554,2.912693824860494e+26
59,-0.05409015025041736,2.9152814920087077e+26
60,-0.05398998330550918,2.9440594872630838e+26
61,-0.053889816360601,2.897246236127219e+26
62,-0.05378964941569282,2.8968541653471862e+26
63,-0.05368948247078464,2.9224955943613034e+26
64,-0.05358931552587646,2.8879933657184547e+26
65,-0.05348914858096828,2.89520746807105e+26
66,-0.053388981636060096,2.8948938114470246e+26
67,-0.05328881469115192,2.8833669305140726e+26
